metabolite_name	Retention Index	PubChem CID	KEGG ID	mass spectrum
2,5-Dioxopentanoate	1.66	21872870	C00433	131.0342
2,5-Furandicarboxylate	2.05	76720	C20450	157.0133
2,6-Diamino-7-hydroxy-azelaic acid	9.13	443585	C12025	235.1307
21,22-Diprenylpaxilline_1	13.84	71745339	C20561	572.3716
21,22-Diprenylpaxilline_2	13.41	71745339	C20561	572.3718
2-Aceto-2-hydroxybutanoate	0.86	21	C00659	147.0653
2-Amino-1,2-bis(p-chlorophenyl)ethanol	8.54	411181	C15427	282.0421
2-Amino-9,10-epoxy-8-oxodecanoic acid_1	8.30	443587	C12027	216.1229
2-Amino-9,10-epoxy-8-oxodecanoic acid_2	8.61	443587	C12027	216.1231
2-Aminomuconate	1.18	20849110	C02220	158.0449
2-Aminomuconate semialdehyde	3.14	5280625	C03824	142.0500
2-Aminophenol_1	2.10	5801	C01987	110.0605
2-Aminophenol_2	1.67	5801	C01987	110.0605
2'-Dehydrokanamycin A	12.87	71296164	C20509	242.1170
2'-DEOXYGUANOSINE	5.91	187790		268.1041
2-Ethylhexyl phthalate_1	14.84	NOT Found in Database	C03343	279.1591
2-Ethylhexyl phthalate_2	13.66	NOT Found in Database	C03343	279.1591
2-Ethylhexyl phthalate_3	16.86	NOT Found in Database	C03343	279.1591
2-Furoate_1	0.83	5460151	C01546	113.0238
2-Furoate_2	4.26	5460151	C01546	113.0238
2-Hydroxy-1,4-benzoquinone	1.18	151011	C07103	125.0237
2-Hydroxy-2,4-pentadienoate_1	0.84	54675827	C00596	115.0394
2-Hydroxy-2,4-pentadienoate_2	4.99	54675827	C00596	115.0394
2-Hydroxyamino-1-methyl-6-phenylimidazo[4,5-b]pyridine	11.13	104954	C20286	241.1072
2-Hydroxycyclohexan-1-one_1	6.86	10785	C01147	115.0757
2-Hydroxycyclohexan-1-one_2	7.71	10785	C01147	115.0756
2-Hydroxycyclohexan-1-one_3	13.36	10785	C01147	115.0757
2-Hydroxymethylclavam_1	0.79	3050259	C17357	144.0657
2-Hydroxymethylclavam_2	5.15	3050259	C17357	144.0656
2-Hydroxypyridine	2.02	8871	C02502	96.0450
2-Naphthylamine_1	8.22	7057	C02227	144.0809
2-Naphthylamine_2	7.75	7057	C02227	144.0809
2-Oxobutanoate_1	0.80	58	C00109	103.0395
2-Oxobutanoate_2	2.15	58	C00109	103.0395
2-Oxooctadecanoic acid_1	15.05	439332	C00869	299.2582
2-Oxooctadecanoic acid_2	13.07	439332	C00869	299.2582
2-Phenylacetamide_1	3.62	7680	C02505	136.0759
2-Phenylacetamide_2	8.88	7680	C02505	136.0758
3-(2-Hydroxyphenyl)propanoate_1	13.52	6930705	C01198	167.0704
3-(2-Hydroxyphenyl)propanoate_2	5.33	6930705	C01198	167.0705
3-(Dimethylamino)propyl benzoate_1	7.22	2249229	C14168	208.1333
3-(Dimethylamino)propyl benzoate_2	8.18	2249229	C14168	208.1333
3-(Dimethylamino)propyl benzoate_3	8.64	2249229	C14168	208.1333
3-(Imidazol-4-yl)-2-oxopropyl phosphate_1	4.31	792	C01267	221.0332
3-(Imidazol-4-yl)-2-oxopropyl phosphate_2	6.20	792	C01267	221.0332
3-(Methylthio)propanoate	1.23	6992044	C08276	121.0319
3,3'-Dimethylbisphenol A	12.50	6620	C14339	257.1537
3,4-Dihydroxy-L-phenylalanine_1	6.34	6047	C00355	198.0762
3,4-Dihydroxy-L-phenylalanine_2	2.49	6047	C00355	198.0762
3,4-Dihydroxymandelate_1	8.85	85782	C05580	185.0446
3,4-Dihydroxymandelate_2	7.96	85782	C05580	185.0446
3,4-Dihydroxyphthalate	0.88	54723877	C03223	199.0253
3,4-Methylenedioxymethamphetamine	6.81	1615	C07577	194.1176
3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate_1	13.26	15944652	C20199	239.1278
3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate_2	11.15	15944652	C20199	239.1278
3-AMINO-4-HYDROXYBENZOIC ACID	1.78	65083		154.0501
3-Aminopropanesulfonate	7.05	1646	C03349	140.0365
3beta-Chloro-N,N-bis(2-chloroethyl)-androst-5-en-17beta-amine	9.80	11954081	C14914	432.2026
3-Buten-1-amine	1.20	443732	C12244	72.0816
3-Butylidene-7-hydroxyphthalide	14.84	5281559	C09921	205.0861
3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone	0.72	53665	C19205	216.9230
3-Ethoxyandrosta-3,5-dien-17beta-ol propanoate_1	11.25	251872	C15057	373.2736
3-Ethoxyandrosta-3,5-dien-17beta-ol propanoate_2	12.78	251872	C15057	373.2736
3-Fluoro-cis,cis-muconate	2.17	9543395	C16474	161.0243
3-Hydroxyhexobarbital	9.44	439898	C03068	253.1199
3-Isopropylcatechol_1	8.97	16498	C01014	153.0911
3-Isopropylcatechol_2	8.54	16498	C01014	153.0911
3-Mercaptolactate	1.06	9833951	C05823	123.0115
3-Methyl-2-oxobutanoic acid_1	0.79	49	C00141	117.0550
3-Methyl-2-oxobutanoic acid_2	2.04	49	C00141	117.0551
3-METHYLADENINE	2.19	1673		150.0775
3-Methyldioxyindole	10.46	151066	C05834	164.0707
3-Methyleneoxindole_1	7.75	150946	C02796	146.0602
3-Methyleneoxindole_2	9.89	150946	C02796	146.0601
3-Methyleneoxindole_3	7.38	150946	C02796	146.0602
3-Methylguanine_1	2.80	76292	C02230	166.0724
3-Methylguanine_2	3.73	76292	C02230	166.0724
3-Oxalomalate	11.70	5459790	C01990	207.0144
3-Oxo-5beta-cholanate_1	12.47	439899	C03070	375.2894
3-Oxo-5beta-cholanate_2	12.02	439899	C03070	375.2894
3-Oxododecanoic acid_1	11.42	439717	C02367	215.1642
3-Oxododecanoic acid_2	12.61	439717	C02367	215.1644
3-Oxohexobarbital	9.34	439745	C02517	252.1116
3-Sulfocatechol	1.79	9543247	C06336	191.0002
3-tert-Butyl-5-methylcatechol	11.55	66095	C03929	181.1224
3-UREIDOPROPIONATE	1.33	111		133.0610
4,8-Dihydroxyquinoline_1	9.65	440737	C05637	162.0550
4,8-Dihydroxyquinoline_2	8.07	440737	C05637	162.0551
4-Acetamidobutanoate_1	2.44	6991994	C02946	146.0813
4-Acetamidobutanoate_2	4.91	6991994	C02946	146.0813
4-Acetamidobutanoate_3	6.90	6991994	C02946	146.0813
4-Acetamidobutanoate_4	1.63	6991994	C02946	146.0813
4-ACETAMIDOBUTANOATE	3.71	18189		168.0631
4a-Hydroxytetrahydrobiopterin	3.67	129803	C15522	258.1197
4-Amino-1-piperidinecarboxylic acid	1.76	445262	C16837	145.0972
4-Amino-2-hydroxylamino-6-nitrotoluene	1.07	9543061	C16403	184.0718
4-Aminobiphenyl	13.82	7102	C10998	170.0965
4-AMINOBUTANOATE	0.87	119		104.0712
4-Aminobutyraldehyde_1	1.58	118	C00555	88.0764
4-Aminobutyraldehyde_2	0.96	118	C00555	88.0764
4-Carboxy-4-hydroxy-2-oxoadipate	3.43	130	C04115	221.0283
4-Chloroacetanilide	2.28	10871	C14494	170.0365
4-Dodecylphenol_1	16.38	66030	C14245	263.2371
4-Dodecylphenol_2	15.41	66030	C14245	263.2371
4-Fluorocyclohexadiene-cis,cis-1,2-diol	6.42	11829464	C16483	131.0493
4-Fluoro-L-threonine	9.28	128057	C15533	138.0571
4-Guanidinobutanal	1.73	25200663	C02647	130.0978
4-Guanidinobutanoate	8.22	500	C01035	146.0934
4-GUANIDINOBUTANOATE	1.75	500		146.0925
4-Hexyloxyphenol	12.74	29354	C14305	195.1381
4-Hydroxy-2-butynal_1	0.79	439778	C02648	85.0291
4-Hydroxy-2-butynal_2	1.45	439778	C02648	85.0291
4-Hydroxy-2-quinolinecarboxylic acid	7.84	3845	C01717	190.0499
4-Hydroxybutanoic acid_1	2.26	10413	C00989	105.0552
4-Hydroxybutanoic acid_2	0.80	10413	C00989	105.0551
4-HYDROXY-L-PHENYLGLYCINE	0.80	36143		168.0657
4-Hydroxyphenylacetate	9.12	127	C00642	153.0547
4-IMIDAZOLEACETIC ACID	1.05	96215		127.0504
4-Imidazolone-5-propanoate	1.05	128	C03680	157.0610
4-Maleylacetoacetate	2.45	5280393	C01036	101.0239
4-Methyl-2-oxopentanoate	3.40	70	C00233	131.0705
4-Methylene-L-glutamate	1.89	6971046	C00651	160.0605
4-Methylene-L-glutamine_1	0.84	439401	C01109	159.0765
4-Methylene-L-glutamine_2	1.24	439401	C01109	159.0766
4-Methylene-L-glutamine_3	4.23	439401	C01109	159.0765
4-Oxoproline_1	0.77	107541	C01877	130.0501
4-Oxoproline_2	2.47	107541	C01877	130.0503
4-Pyridoxate	6.02	6723	C00847	184.0606
4-Vinylcyclohexene_1	8.59	7499	C19310	109.1018
4-Vinylcyclohexene_2	9.97	7499	C19310	109.1018
4-Vinylcyclohexene_3	9.42	7499	C19310	109.1018
5-(2-Hydroxyethyl)-4-methylthiazole_1	5.90	1136	C04294	144.0480
5-(2-Hydroxyethyl)-4-methylthiazole_2	6.23	1136	C04294	144.0479
5,6-Dihydrothymine_1	0.94	93556	C00906	129.0662
5,6-Dihydrothymine_2	3.20	93556	C00906	129.0661
5,6-Dihydrothymine_3	1.80	93556	C00906	129.0662
5,6-DIHYDROURACIL	1.44	649		115.0507
5,6-Dihydrouracil	2.24	649	C00429	115.0506
5-Acetamidopentanoate_1	2.27	439903	C03087	160.0969
5-Acetamidopentanoate_2	8.22	439903	C03087	160.0969
5-Acetamidopentanoate_3	1.25	439903	C03087	160.0969
5-Acetamidopentanoate_4	5.35	439903	C03087	160.0969
5-Acetamidopentanoate_5	7.23	439903	C03087	160.0969
5-Acetamidopentanoate_6	2.84	439903	C03087	160.0969
5-Acetamidopentanoate_7	3.66	439903	C03087	160.0971
5-Aminolevulinate_1	1.98	137	C00430	132.0658
5-Aminolevulinate_2	1.18	137	C00430	132.0657
5-Aminolevulinate_3	2.47	137	C00430	132.0660
5-Aminolevulinate_4	4.65	137	C00430	132.0658
5-AMINOLEVULINIC ACID	0.79	137		132.0657
5-AMINOPENTANOATE	1.20	138		118.0867
5beta-Scymnol sulfate	13.83	24820757	C16261	549.3145
5-exo-Hydroxy-1,2-campholide	9.97	440138	C03843	185.1174
5-Guanidino-3-methyl-2-oxopentanoate	0.97	46173323	C20234	188.1031
5-Hydroxyindoleacetate	6.64	1826	C05635	192.0656
5-Hydroxyindoleacetylglycine	7.10	440806	C05832	249.0869
5-Hydroxyisourate_1	1.97	250388	C11821	185.0307
5-Hydroxyisourate_2	3.81	250388	C11821	185.0289
5-Hydroxy-L-tryptophan_1	4.06	439280	C00643	221.0922
5-Hydroxy-L-tryptophan_2	6.80	439280	C00643	221.0922
5-Hydroxy-L-tryptophan_3	2.34	439280	C00643	221.0922
5-Hydroxy-L-tryptophan_4	11.93	439280	C00643	221.0935
5'-Methylthioadenosine	8.85	439176	C00170	298.0965
5-Methylthio-D-ribose	1.25	439904	C03089	181.0530
5-O-Methyl-myo-inositol	7.99	439990	C03365	195.0878
5-Oxoavermectin ''1a'' aglycone	13.54	11953988	C11978	583.3240
5-OXO-L-PROLINE	1.96	7405		130.0502
5-Ureido-4-imidazole carboxylate	8.07	155	C05515	171.0499
5-Valerolactone_1	4.32	10953	C02240	101.0603
5-Valerolactone_2	4.02	10953	C02240	101.0603
5-Valerolactone_3	0.89	10953	C02240	101.0603
6-DEOXY-L-GALACTOSE	0.89	17106		187.0578
6-endo-Hydroxycineole_1	12.49	6857383	C03092	171.1381
6-endo-Hydroxycineole_2	12.07	6857383	C03092	171.1381
6-Hydroxyprotopine	10.89	440587	C05190	370.1318
6-Hydroxypseudooxynicotine	5.63	439476	C01297	195.1128
6-Methoxymellein	10.22	83412	C02381	209.0809
6-Methylmercaptopurine	1.42	5778	C16614	167.0373
7-Dehydrodesmosterol	15.09	440558	C05107	383.3311
8-Amino-7-oxononanoate_1	3.38	173	C01092	188.1282
8-Amino-7-oxononanoate_2	7.38	173	C01092	188.1282
8-Amino-7-oxononanoate_3	8.39	173	C01092	188.1282
8-Hydroxyalanylclavam	1.03	46173889	C17359	217.0820
9,12,13-TriHOME_1	11.19	9858729	C14833	331.2479
9,12,13-TriHOME_2	11.77	9858729	C14833	331.2479
9-Fluoro-16alpha-hydroxyandrost-4-ene-3,11,17-trione	16.37	236828	C15105	335.1668
9-Oxononanoic acid	8.44	75704	C16322	173.1174
Abietate	15.45	10569	C06087	303.2319
Abscisate_1	11.18	5280896	C06082	265.1433
Abscisate_2	10.78	5280896	C06082	265.1412
Acetone cyanohydrin_1	1.42	6406	C02659	86.0607
Acetone cyanohydrin_2	2.54	6406	C02659	86.0607
Acetone cyanohydrin_3	1.96	6406	C02659	86.0607
Acetylcysteine	0.99	12035	C06809	164.0375
Acridine	8.79	9215	C20141	180.0808
ADENINE	1.61	190		136.0620
Adenine	5.91	190	C00147	136.0620
Adifoline	12.18	441972	C09020	425.1359
Allamandin	3.85	5281540	C09766	309.0993
ALLANTOIN	0.87	204		159.0514
Allophanic acid methyl ester	2.74	12976	C10899	119.0457
alpha,beta-Didehydrotryptophan	4.06	5280990	C06732	203.0816
ALPHA-AMINOADIPATE	0.98	92136		162.0762
alpha-EMTBL_1	5.15	128423	C13720	145.0689
alpha-EMTBL_2	4.67	128423	C13720	145.0689
alpha-Erythroidine	12.64	441076	C06531	274.1447
alpha-Oxo-benzeneacetic acid	7.09	11915	C02137	151.0394
alpha-Sinensal_1	14.43	5281534	C09729	219.1745
alpha-Sinensal_2	15.92	5281534	C09729	219.1746
alpha-Sinensal_3	12.92	5281534	C09729	219.1745
alpha-Sinensal_4	13.96	5281534	C09729	219.1745
alpha-Tocopherol	16.54	14985	C02477	431.3884
AMPA_1	1.24	1221	C13672	187.0714
AMPA_2	1.72	1221	C13672	187.0714
Ampicillin	8.01	6249	C06574	350.1165
Ancitabin hydrochloride	0.89	25050	C13112	131.5338
Androsterone glucuronide	12.82	114833	C11135	467.2621
Aniflorine	9.38	442881	C10635	352.1656
Anthranilate	8.78	227	C00108	138.0551
Apiole_1	11.13	10659	C10429	223.0966
Apiole_2	12.54	10659	C10429	223.0966
Apoatropine_1	9.65	64695	C10843	272.1645
Apoatropine_2	11.18	64695	C10843	272.1645
Apraclonidine	3.81	2216	C07668	245.0342
Arachidonate	16.12	444899	C00219	305.2476
Arbutin	8.36	440936	C06186	273.0957
Aristolochic acid	3.01	2236	C08469	171.5342
Aromatic aldehyde_1	8.89	240	C00193	107.0496
Aromatic aldehyde_2	6.42	240	C00193	107.0496
Aromatic aldehyde_3	3.62	240	C00193	107.0496
Aromatic aldehyde_4	6.95	240	C00193	107.0496
Aromatic aldehyde_5	7.94	240	C00193	107.0496
Austrobailignan 1	0.78	325700	C10546	383.1159
Azelaic acid	9.34	2266	C08261	189.1123
Bakkenolide A	14.33	442173	C09350	235.1694
Batrachotoxin	13.21	6324647	C13750	539.3138
Beclomethasone	12.50	20469	C06842	409.1748
Benzoate	3.62	242	C00180	123.0444
Benzofuran_1	3.62	9223	C14512	119.0495
Benzofuran_2	6.78	9223	C14512	119.0496
Benzyl alcohol	10.91	244	C00556	109.0653
Benzyl nicotinate	11.52	7191	C12865	214.0855
Bergaptol_1	1.18	5280371	C00758	203.0348
Bergaptol_2	10.95	5280371	C00758	203.0340
BETA-ALANINE	0.78	239		90.0556
beta-Carboline_1	8.61	64961	C20157	169.0760
beta-Carboline_2	8.23	64961	C20157	169.0761
beta-Carboline_3	9.24	64961	C20157	169.0760
beta-Carboline_4	10.56	64961	C20157	169.0757
BETAINE	0.87	247		118.0866
Betamethasone	7.79	9782	C06848	393.2094
Bilirubin	11.98	5280352	C00486	585.2708
Bis(2-chloroethyl)ether_1	2.33	8115	C14688	143.0017
Bis(2-chloroethyl)ether_2	1.63	8115	C14688	143.0016
Bombykal	16.13	6444828	C20128	237.2214
Boschnialactone_1	10.64	442420	C09772	155.1067
Boschnialactone_2	9.99	442420	C09772	155.1067
Botrydial_1	12.30	185781	C09622	311.1852
Botrydial_2	12.64	185781	C09622	311.1853
Buddledin A_1	12.24	5281514	C09623	277.1798
Buddledin A_2	14.65	5281514	C09623	277.1799
Buddledin A_3	14.32	5281514	C09623	277.1799
Buprenorphine	12.64	644073	C08007	468.3089
Burseran	12.18	276155	C10547	387.1807
C20913	8.55	NOT Found in Database	C20913	235.0941
Calcitriol	15.83	5280453	C01673	417.3360
Calcium salicylate	1.30	517068	C19600	315.0188
Callytriol C	7.62	10593857	C17005	349.1832
Calystegin B2_1	5.05	443000	C10851	176.0918
Calystegin B2_2	1.16	443000	C10851	176.0919
Calystegin B2_3	6.84	443000	C10851	176.0918
Calystegin B2_4	3.42	443000	C10851	176.0919
Carbamazepine	10.63	2554	C06868	237.1024
Carbamorph	8.45	35953	C18923	221.0786
Carpacin	10.90	5281763	C10435	193.0862
Castanospermine_1	9.21	54445	C02256	190.1056
Castanospermine_2	3.07	54445	C02256	190.1074
Castanospermine_3	7.72	54445	C02256	190.1075
Catechol_1	0.89	289	C00090	111.0446
Catechol_2	1.33	289	C00090	111.0445
CCCP	1.30	2603	C11164	205.0289
Cerulenin	6.41	5282054	C12058	224.1282
Chloromethiuron	2.32	3034465	C19026	229.0550
Chrysoidine free base	9.37	10317	C14617	213.1121
Cidofovir	0.89	60613	C06909	140.5389
Cilastatin	16.12	6435415	C01675	359.1669
Cinnamaldehyde	11.39	637511	C00903	133.0650
cis-1,2-Dihydro-3-ethylcatechol_1	7.39	441155	C06727	141.0911
cis-1,2-Dihydro-3-ethylcatechol_2	8.51	441155	C06727	141.0911
cis-1,2-Dihydronaphthalene-1,2-diol_1	14.68	440294	C04314	163.0755
cis-1,2-Dihydronaphthalene-1,2-diol_2	11.15	440294	C04314	163.0755
cis-1,2-Dihydronaphthalene-1,2-diol_3	14.34	440294	C04314	163.0755
cis-2,3-Dihydroxy-2,3-dihydro-p-cumate	7.68	9543088	C06579	199.0966
cis-2-Carboxycyclohexyl-acetic acid_1	8.14	656884	C14112	187.0966
cis-2-Carboxycyclohexyl-acetic acid_2	8.55	656884	C14112	187.0966
cis-Aconitate	2.05	643757	C00417	175.0240
CITRATE	2.05	311		215.0163
CITRULLINE	0.84	9750		176.1030
CMN 131	1.38	3035162	C15663	95.0168
Coenzyme B	8.96	5462265	C04628	172.5495
Coniferyl alcohol_1	11.15	1549095	C00590	181.0860
Coniferyl alcohol_2	9.12	1549095	C00590	181.0861
Corticosterone	11.09	5753	C02140	347.2214
Cortisol	9.99	5754	C00735	363.2165
Cortisone	10.17	222786	C00762	361.2010
Coumarin_1	3.62	323	C05851	147.0442
Coumarin_2	7.79	323	C05851	147.0442
CREATINE	0.97	586		132.0769
Creatine	7.75	586	C00300	132.0779
CREATININE	1.00	588		114.0667
Crotanecine_1	8.38	394146	C10284	172.0969
Crotanecine_2	3.67	394146	C10284	172.0969
Cucurbic acid_1	12.60	5281159	C08482	213.1488
Cucurbic acid_2	11.91	5281159	C08482	213.1487
Cucurbic acid_3	11.05	5281159	C08482	213.1487
Cucurbitine_1	1.07	442634	C10140	131.0818
Cucurbitine_2	2.19	442634	C10140	131.0818
Cumene	12.15	7406	C14396	121.1016
Cycasin_1	8.99	5459896	C01418	253.1047
Cycasin_2	8.08	5459896	C01418	253.1046
Cycloheptanecarboxylic acid_1	7.07	15091	C12104	143.1068
Cycloheptanecarboxylic acid_2	9.32	15091	C12104	143.1068
Cycloheptanecarboxylic acid_3	8.74	15091	C12104	143.1068
Cyclohexane-1,3-dione_1	3.40	10434	C01066	113.0602
Cyclohexane-1,3-dione_2	11.94	10434	C01066	113.0601
Cyclohexane-1,3-dione_3	7.22	10434	C01066	113.0601
Cyclohexanone	6.78	7967	C00414	99.0810
Cyclohexylamine_1	6.89	7965	C00571	100.1126
Cyclohexylamine_2	6.53	7965	C00571	100.1126
Cyphenothrin	16.37	38283	C12962	376.1931
CYTIDINE	1.76	6175		244.0928
Cytosine_1	5.75	597	C00380	112.0510
Cytosine_2	1.76	597	C00380	112.0510
D-(-)-ARABINOSE	0.84	66308		173.0422
D-(+)-GLUCOSAMINE	0.79	439213		180.0867
Daimuron	13.38	39238	C18427	269.1646
D-Alanyl-D-alanine_1	3.68	5460362	C00993	161.0921
D-Alanyl-D-alanine_2	6.55	5460362	C00993	161.0921
Debrisoquin	8.66	2966	C13650	176.1183
Deethylatrazine	7.75	22563	C06559	188.0707
Dehydroalanine_1	1.15	123991	C02218	88.0400
Dehydroalanine_2	6.80	123991	C02218	88.0400
Dehydroalanine_3	7.34	123991	C02218	88.0400
Dehydroalanine_4	8.38	123991	C02218	88.0401
delta-Guanidinovaleric acid_1	3.74	160464	C13688	160.1082
delta-Guanidinovaleric acid_2	1.61	160464	C13688	160.1081
DEOXYCARNITINE	1.45	725		146.1177
Deoxycytidine	1.19	13711	C00881	228.0979
Deoxyvasicinone	9.22	68261	C10659	187.0867
D-GLUCONO-1,5-LACTONE	0.81	7027		219.0475
